"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"9459050","02004621511003811000003549S2","L.ABORATORIO MEDICO DEL CHOPO SUCURSAL PRADO ORDAZ","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","CALLE DE LAS ROSAS","PRIVADA","Privada de las Camelias","BOULEVARD","Gustavo Díaz Ordaz","CALLE","José Gallego Lugo","13090",,,,,,"COLONIA","DEL PRADO",,,,"22105","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0456","029",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.50898481","-116.98398203","2023-11"
"9398915","02001621511001111000003549S5","LABORATORIO MEDICO DEL CHOPO SUCURSAL CALLE 10 Y MOCTEZUMA","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","10","AVENIDA","Álvaro Obregón","AVENIDA","Moctezuma","CALLE","Novena","200","LT1 Y 2 MZ 84",,,,,"COLONIA","SECCION PRIMERA",,,,"22800","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","0577","024",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","31.87365614","-116.62553484","2023-11"
"9415643","02002621511001961000003549S1","LABORATORIO MEDICO DEL CHOPO SUCURSAL CIBELES","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","BOULEVARD","LÁZARO CÁRDENAS","CALLE","Río Acaponeta Sur","CALLE","Macristy de Hermosillo","AVENIDA","Poder Judicial","1400",,,,,,"COLONIA","LAZARO CARDENAS","CENTRO Y PLAZA COMERCIAL","PLAZA CIBELES","2","21370","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4793","039",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.6247559","-115.42020216","2023-11"
"9393165","02002621511001991000003549S8","LABORATORIO MEDICO DEL CHOPO SUCURSAL CIUDAD DEPORTIVA","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALZADA","CUAUHTÉMOC (AVIACIÓN)","CALZADA","Justo Sierra","CALLE","Río Colorado","PRIVADA","Ninguno","62",,,,,,"COLONIA","AVIACION DE MEXICALI","CENTRO Y PLAZA COMERCIAL","PLAZA SOL","24-25-26","22014","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4435","032",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.65729955","-115.45050757","2023-11"
"9393055","02004621511003731000003549S2","LABORATORIO MEDICO DEL CHOPO SUCURSAL CUCAPAH","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","BOULEVARD","CUCAPAH","CALLE","Las Granjas","AVENIDA","Isabela","CALLE","Tulipanes","21933",,,,,,"COLONIA","LOMAS DE MATAMOROS","CENTRO Y PLAZA COMERCIAL","PLAZA BUGAMBILIAS","SN","22206","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","7152","028",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COMMX","Fijo","32.51366872","-116.87693493","2023-11"
"9467190","02004621511003771000003549S8","LABORATORIO MEDICO DEL CHOPO SUCURSAL EL AGUILA","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","RUTA INDEPENDENCIA","CALLE","Misioneros","CALLE","Águila Coronada","RETORNO","Águila Coronada","19131",,,,,,"COLONIA","BAJA MAQ EL AGUILA","CENTRO Y PLAZA COMERCIAL","PLAZA EL AGUILA","SN","22215","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","5832","024",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.4979373","-116.91071588","2023-11"
"9433625","02004621511003751000003549S0","LABORATORIO MEDICO DEL CHOPO SUCURSAL GATO BRONCO","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","BOULEVARD","ALBERTO LIMÓN PADILLA","CALLE","Ninguno","BOULEVARD","Manuel J. Clouthier","OTRO(ESPECIFIQUE)","Sin Referencia","179",,,,,,"COLONIA","CAÑON DEL PADRE","CENTRO Y PLAZA COMERCIAL","NUEVA TIJUANA","SN","22450","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","5194","033",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.53592415","-116.93152292","2023-11"
"9399714","02002621511002001000003549S5","LABORATORIO MEDICO DEL CHOPO SUCURSAL JARDINES DEL LAGO","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","BOULEVARD","LÁZARO CÁRDENAS","CALLE","Lago Banquedo","CALLE","Paseo de los Grandes Lagos","AVENIDA","Lago Balkal",,"S/N",,,,,"COLONIA","JARDINES DEL LAGO",,,,"21330","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","280A","041",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.62394304","-115.48791351","2023-11"
"9466628","02002621511001971000003549S0","LABORATORIO MEDICO DEL CHOPO SUCURSAL JUAREZ UABC","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","BOULEVARD","BENITO JUÁREZ","AVENIDA","Irma","AVENIDA","Normal","CALLE","Ana García","3633",,,,,,"COLONIA","RESIDENCIAS",,,,"21280","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4666","022",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.62893544","-115.44520861","2023-11"
"9452074","02001621511001101000003549S6","LABORATORIO MEDICO DEL CHOPO SUCURSAL LOMAS DEL MAR","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CARRETERA","TRANSPENINSULAR (REFORMA)","CALLE","Granada","CALLE","Ninguno","CALLE","Paseo de las Olas","4021",,,,,,"COLONIA","CARLOS PACHECO","CENTRO Y PLAZA COMERCIAL","MACROPLAZA DEL MAR","SN","22890","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","5991","011",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","31.82302414","-116.59932828","2023-11"
"9404760","02004621511003791000003549S6","LABORATORIO MEDICO DEL CHOPO SUCURSAL OTAY","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","RUTA MARIANO MATAMOROS","CALLE","Fuerte Jaujilla","CALLE","Francisco Javier Mina","CALLE","21 de Marzo","10428","14 Y 15 MZ 10B",,,,,"COLONIA","MARIANO MATAMOROS NORTE",,,,"22206","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","2039","006",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.4940205","-116.88386097","2023-11"
"9437693","02004621511003761000003549S9","LABORATORIO MEDICO DEL CHOPO SUCURSAL PLAYAS TIJUANA","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","AVENIDA","PASEO A PLAYAS DE TIJUANA","AVENIDA","Avenida del Rocío","CALLE","Calle del Agua","CALLE","Calle de las Rocas","596","L",,,"3",,"COLONIA","AMPLIACION PLAYAS TIJUANA",,,,"22517","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1399","004",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.52345676","-117.12011188","2023-11"
"9412355","02002621511001981000003549S9","LABORATORIO MEDICO DEL CHOPO SUCURSAL PLAZA 686","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALZADA","CALZADA CETYS","OTRO(ESPECIFIQUE)","Barda","CALLE","Cuarta","OTRO(ESPECIFIQUE)","NINGUNO",,"LT 5 MZ 33",,,,,"COLONIA","2DA SECC 1ERA ETAPA","CENTRO Y PLAZA COMERCIAL","PLAZA 686","SN","21254","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","7586","017",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.65288725","-115.39585125","2023-11"
"9452855","02002621511002022000003549S1","LABORATORIO MEDICO DEL CHOPO SUCURSAL REFORMA MEXICALI","GRUPO DIAGNOSTICO MEDICO PROA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","6 a 10 personas","AVENIDA","REFORMA","CALLE","Pedro F. Pérez y Ramírez (Del Comercio)","CALLE","Bravo","CALLEJON","Madero","761",,,,,,"COLONIA","SECCION PRIMERA",,,,"21100","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4223","010",,"ERICK.ROQUE@PROA.COM.MX","WWW.CHOPO.COM.MX","Fijo","32.6638264","-115.48340683","2023-11"
