"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6765851","02002621511001611000000000U2","ESTRADA LABORATORIOS","ESTRADA LABORATORIOS SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","AVENIDA","RIO BALSAS","CALLE","DECIMA","CALLE","NOVENA","AVENIDA","RIO NAZAS","3011",,,,,,"COLONIA","NUEVO MEXICAL",,,,"21396","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4914","004","6865613535",,,"Fijo","32.60303615","-115.3887442","2016-10"
"53565","02004621511001613001000000U4","LABORATORIO ESTRADA","LABORATORIO ESTRADA SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","6 a 10 personas","CALLE","EMILIANO ZAPATA (QUINTA)","AVENIDA","NIÑOS HEROES (B)","CALLE","MIGUEL F. MARTINEZ (D)","CALLE","SEXTA Y/O FLORES MAGÓN","7957",,,,,"C","COLONIA","ZONA CENTRO",,,,"22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0051","017",,,,"Fijo","32.53151135","-117.04056868","2010-07"
"53596","02004621511002082001000000U1","LABORATORIO ESTRADA","LABORATORIOS ESTRADAS SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","EMILIANO ZAPATA (QUINTA)","CALLE","MIGUEL F. MARTINEZ (D)","AVENIDA","NIÑOS HEROES (B)","CALLE","DÍAZ MIRÓN (CUARTA)","7928",,"EDIFICIO SIN NOMBRE","17",,"C","COLONIA","ZONA CENTRO","EDIFICIO COMERCIAL Y DE SERVICIOS","PLAZA","C","22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0051","011",,,,"Fijo","32.53162842","-117.04055592","2010-07"
"77089","02002621511000011000000000S6","LABORATORIO ESTRADA",,"621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","BOULEVARD","ANAHUAC","AVENIDA","FAVARA","AVENIDA","MONTES DE TOLEDO","CALLE","ESTELLA",,"SN",,,,,"COLONIA","CASA MAGNA",,,,"21355","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","6056","018",,,,"Fijo","32.59158686","-115.47604088","2010-07"
"55001","02004621511001412000051074S1","LABORATORIO SENABIL","CORPORACION ESTRADA HERMANOS SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","CARRILLO PUERTO (TERCERA)","AVENIDA","CONSTITUCION","AVENIDA","NIÑOS HEROES (B)","CALLE","DÍAZ MIRÓN (CUARTA)","8043",,"CENTRO Y PLAZA COMERCIAL","18",,"2-3","COLONIA","ZONA CENTRO","CENTRO Y PLAZA COMERCIAL","KARYLUZ","2-3","22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","2946","023","6646859177","LABORATORIOSESTARDA@HOTMAIL.COM",,"Fijo","32.53379589","-117.0396616","2010-07"
"55666","02003621511000061000000000S9","LABORATORIOS ESTRADA",,"621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALLE","PRESIDENTE PLUTARCO ELIAS CALLES","CALLEJON","REFORMA","AVENIDA","PASEO MORELOS","CALLE","PRESIDENTE ÁLVARO OBREGÓN","56","C D",,,,,"COLONIA","PRIMERA",,,,"21400","02","BAJA CALIFORNIA","003","Tecate","0001","Tecate","1118","002",,"LABORATORIOESTRADA@HOTMAIL.COM",,"Fijo","32.5738314","-116.62887104","2010-07"
"70049","02002621511001052001051074M9","LABORATORIOS ESTRADA","CORPORACION ESTRADA HERMANOS SA DE CV","621511","Laboratorios médicos y de diagnóstico del sector privado","11 a 30 personas","AVENIDA","FRANCISCO I. MADERO","CALLE","J","CALLE","I","AVENIDA","CRISTÓBAL COLÓN","1711",,,,"0",,"COLONIA","NUEVA",,,,"21100","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","0095","045","6865546008","LABORATORIOSESTRADAMEXICALI@HOTMAIL.COM","WWW.LABORATORIOESTRADA.COM","Fijo","32.66678256","-115.46185464","2012-06"
"6422507","02002621511000141000000000U1","LABORATORIOS ESTRADA",,"621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","CALZADA","HEROICO COLEGIO MILITAR","CALLEJON","MICHOACAN","AVENIDA","NAYARIT","CALLEJON","MICHOACÁN",,"SN",,,,,"COLONIA","PUEBLO NUEVO",,,,"21110","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","5768","025","6865544568",,,"Fijo","32.65537716","-115.50560718","2010-07"
"6422515","02002621511000591001051074S7","LABORATORIOS ESTRADA","CORPORACION ESTRADA HERMANOS ","621511","Laboratorios médicos y de diagnóstico del sector privado","6 a 10 personas","AVENIDA","FRANCISCO I. MADERO","CALLE","DOCTOR GASTON SALAZAR (D)","CALLE","E","CALLEJON","MADERO","1290",,"EDIFICIO SIN NOMBRE","1","3",,"COLONIA","SEGUNDA SECCION","EDIFICIO COMERCIAL Y DE SERVICIOS","PLAZA ESPAÑA","3","21100","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4242","027",,,,"Fijo","32.66587665","-115.47194334","2010-07"
"9353787","02002621511001881000000000U1","LABORATORIOS ESTRADA","LABORATORIOS ESTRADA ","621511","Laboratorios médicos y de diagnóstico del sector privado","0 a 5 personas","AVENIDA","REPUBLICA DE URUGUAY","CALLE","RIO MOCORITO","CALLE","RIO CULIACAN","CALZADA","CUAUHTÉMOC (AVIACIÓN)","876",,,,,,"COLONIA","SONORA",,,,"21210","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4280","005",,,,"Fijo","32.65943053","-115.43345177","2021-05"
